date,start_time,end_time,warning_type,warning_title,warning_content,source_file
20190413,2019-04-13 08:50:00,2019-04-13 23:59:59,Strong Monsoon,Information about Strong Monsoon Signal (07:45 HKT on 13.04.2019),"The Strong Monsoon Signal is now in force. Strong winds with mean speed exceeding 40 kilometres per hour are expected from the east. Gusts will occasionally reach gale force.1. If you are not well sheltered from the east, you are advised to take precautions against strong gusty winds. Flower pots and other objects likely to be blown away should be taken indoors.2. Those planning for water sports activities and operations at sea should take special care against high winds and rough sea conditions. Conditions are particularly rough over the offshore waters.Dispatched by Hong Kong Observatory at 07:45 HKT on 13.04.2019",20190413-0850-WeatherWarningBulletin.xml
20190507,2019-05-07 08:45:00,2019-05-07 23:59:59,Strong Monsoon,Information about Strong Monsoon Signal (07:45 HKT on 07.05.2019),"The Strong Monsoon Signal is now in force. Strong winds with mean speed exceeding 40 kilometres per hour are expected from the east. Gusts will occasionally reach gale force.1. If you are not well sheltered from the east, you are advised to take precautions against strong gusty winds. Flower pots and other objects likely to be blown away should be taken indoors.2. Those planning for water sports activities and operations at sea should take special care against high winds and rough sea conditions. Conditions are particularly rough over the offshore waters.Dispatched by Hong Kong Observatory at 07:45 HKT on 07.05.2019",20190507-0845-WeatherWarningBulletin.xml
20190508,2019-05-08 08:45:00,2019-05-08 23:59:59,Strong Monsoon,Information about Strong Monsoon Signal (07:45 HKT on 08.05.2019),"The Strong Monsoon Signal is now in force. Strong winds with mean speed exceeding 40 kilometres per hour are expected from the east. Gusts will occasionally reach gale force.1. If you are not well sheltered from the east, you are advised to take precautions against strong gusty winds. Flower pots and other objects likely to be blown away should be taken indoors.2. Those planning for water sports activities and operations at sea should take special care against high winds and rough sea conditions. Conditions are particularly rough over the offshore waters.Dispatched by Hong Kong Observatory at 07:45 HKT on 08.05.2019",20190508-0845-WeatherWarningBulletin.xml
20190519,2019-05-19 08:45:00,2019-05-19 23:59:59,Very Hot,Information about Very Hot Weather Warning (06:45 HKT on 19.05.2019),"The Very Hot Weather Warning has been issued by the Hong Kong Observatory at 6:45 a.m.The Hong Kong Observatory is forecasting very hot weather in Hong Kong today. The risk of heatstroke is high.When engaged in outdoor work or activities, drink plenty of water and avoid over exertion. If not feeling well, take a rest in the shade or cooler place as soon as possible.People staying indoors without air-conditioning should keep windows open as far as possible to ensure that there is adequate ventilation.Avoid prolonged exposure under sunlight. Loose clothing, suitable hats and UV-blocking sunglasses can reduce the chance of sunburn by solar ultraviolet radiation.Swimmers and those taking part in outdoor activities should use a sunscreen lotion of SPF 15 or above, and should re-apply it frequently.Beware of health and wellbeing of elderly or persons with chronic medical conditions. If you know of them, call or visit them occasionally to check if they need any assistance.Dispatched by Hong Kong Observatory at 06:45 HKT on 19.05.2019",20190519-0845-WeatherWarningBulletin.xml
20190523,2019-05-23 08:46:00,2019-05-23 23:59:59,Thunderstorm,Information about Thunderstorm Warning (07:00 HKT on 23.05.2019),"Thunderstorm Warning was issued at 7:00 a.m. on 23 May 2019. It will be valid until 9:00 a.m. today. Thunderstorms are expected to occur over Lantau, Southern Waters and Islands of Hong Kong.Members of the public are advised to take the following precautions when thunderstorms occur:1. Stay indoors. Seek shelter in buildings if you are engaging in outdoor activities.2. Do not stand on high grounds. Keep away from highly conductive objects, trees or masts.Dispatched by Hong Kong Observatory at 07:00 HKT on 23.05.2019",20190523-0846-WeatherWarningBulletin.xml
20190527,2019-05-27 08:46:00,2019-05-27 23:59:59,Thunderstorm,Information about Thunderstorm Warning (08:15 HKT on 27.05.2019),"Thunderstorm Warning issued at 1:45 a.m. on 27 May 2019 has been extended until 10:30 a.m. today. A few squally thunderstorms are expected to occur over Hong Kong.Members of the public are advised to take the following precautions when thunderstorms occur:1. Stay indoors. Seek shelter in buildings if you are engaging in outdoor activities.2. Do not stand on high grounds. Keep away from highly conductive objects, trees or masts.Dispatched by Hong Kong Observatory at 08:15 HKT on 27.05.2019",20190527-0846-WeatherWarningBulletin.xml
20190528,2019-05-28 08:45:00,2019-05-28 23:59:59,Thunderstorm,Information about Thunderstorm Warning (08:30 HKT on 28.05.2019),"Thunderstorm Warning issued at 4:30 a.m. on 28 May 2019 will remain in force until 11:30 a.m. today. Occasional thunderstorms are expected to occur over Hong Kong.Members of the public are advised to take the following precautions when thunderstorms occur:1. Stay indoors. Seek shelter in buildings if you are engaging in outdoor activities.2. Do not stand on high grounds. Keep away from highly conductive objects, trees or masts.Dispatched by Hong Kong Observatory at 08:30 HKT on 28.05.2019",20190528-0845-WeatherWarningBulletin.xml
20190603,2019-06-03 08:46:00,2019-06-03 23:59:59,Thunderstorm,Information about Thunderstorm Warning (07:00 HKT on 03.06.2019),"Thunderstorm Warning issued at 3:40 a.m. on 3 Jun 2019 has been extended until 9:30 a.m. today. A few squally thunderstorms are expected to occur over Hong Kong.Gusts reaching 70 kilometres per hour or above may continue to affect Hong Kong.Members of the public are advised to take the following precautions when thunderstorms occur:1. Stay indoors. Seek shelter in buildings if you are engaging in outdoor activities.2. Do not stand on high grounds. Keep away from highly conductive objects, trees or masts.3. Take precautions against violent gusts. Beware of flying debris and falling objects.4. Drivers using highways and flyovers should reduce speed to be alert to violent gusts.Dispatched by Hong Kong Observatory at 07:00 HKT on 03.06.2019",20190603-0846-WeatherWarningBulletin.xml
20190604,2019-06-04 08:46:00,2019-06-04 23:59:59,Thunderstorm,Information about Thunderstorm Warning (06:40 HKT on 04.06.2019),"Thunderstorm Warning issued at 3:35 a.m. on 4 Jun 2019 has been extended until 9:30 a.m. today. A few thunderstorms are expected to occur over Hong Kong.Members of the public are advised to take the following precautions when thunderstorms occur:1. Stay indoors. Seek shelter in buildings if you are engaging in outdoor activities.2. Do not stand on high grounds. Keep away from highly conductive objects, trees or masts.Dispatched by Hong Kong Observatory at 06:40 HKT on 04.06.2019",20190604-0846-WeatherWarningBulletin.xml
20190606,2019-06-06 08:50:00,2019-06-06 23:59:59,Very Hot,Information about Very Hot Weather Warning (06:45 HKT on 06.06.2019),"The Very Hot Weather Warning has been issued by the Hong Kong Observatory at 6:45 a.m.The Hong Kong Observatory is forecasting very hot weather in Hong Kong today. The risk of heatstroke is high.When engaged in outdoor work or activities, drink plenty of water and avoid over exertion. If not feeling well, take a rest in the shade or cooler place as soon as possible.People staying indoors without air-conditioning should keep windows open as far as possible to ensure that there is adequate ventilation.Avoid prolonged exposure under sunlight. Loose clothing, suitable hats and UV-blocking sunglasses can reduce the chance of sunburn by solar ultraviolet radiation.Swimmers and those taking part in outdoor activities should use a sunscreen lotion of SPF 15 or above, and should re-apply it frequently.Beware of health and wellbeing of elderly or persons with chronic medical conditions. If you know of them, call or visit them occasionally to check if they need any assistance.Dispatched by Hong Kong Observatory at 06:45 HKT on 06.06.2019",20190606-0850-WeatherWarningBulletin.xml
20190607,2019-06-07 08:45:00,2019-06-07 23:59:59,Very Hot,Information about Very Hot Weather Warning (06:45 HKT on 07.06.2019),"The Very Hot Weather Warning is now in force.The Hong Kong Observatory is forecasting very hot weather in Hong Kong today. The risk of heatstroke is high.When engaged in outdoor work or activities, drink plenty of water and avoid over exertion. If not feeling well, take a rest in the shade or cooler place as soon as possible.People staying indoors without air-conditioning should keep windows open as far as possible to ensure that there is adequate ventilation.Avoid prolonged exposure under sunlight. Loose clothing, suitable hats and UV-blocking sunglasses can reduce the chance of sunburn by solar ultraviolet radiation.Swimmers and those taking part in outdoor activities should use a sunscreen lotion of SPF 15 or above, and should re-apply it frequently.Beware of health and wellbeing of elderly or persons with chronic medical conditions. If you know of them, call or visit them occasionally to check if they need any assistance.Dispatched by Hong Kong Observatory at 06:45 HKT on 07.06.2019",20190607-0845-WeatherWarningBulletin.xml
20190608,2019-06-08 09:02:00,2019-06-08 23:59:59,Very Hot,Information about Very Hot Weather Warning (06:45 HKT on 08.06.2019),"The Very Hot Weather Warning is now in force.The Hong Kong Observatory is forecasting very hot weather in Hong Kong today. The risk of heatstroke is high.When engaged in outdoor work or activities, drink plenty of water and avoid over exertion. If not feeling well, take a rest in the shade or cooler place as soon as possible.People staying indoors without air-conditioning should keep windows open as far as possible to ensure that there is adequate ventilation.Avoid prolonged exposure under sunlight. Loose clothing, suitable hats and UV-blocking sunglasses can reduce the chance of sunburn by solar ultraviolet radiation.Swimmers and those taking part in outdoor activities should use a sunscreen lotion of SPF 15 or above, and should re-apply it frequently.Beware of health and wellbeing of elderly or persons with chronic medical conditions. If you know of them, call or visit them occasionally to check if they need any assistance.Dispatched by Hong Kong Observatory at 06:45 HKT on 08.06.2019",20190608-0902-WeatherWarningBulletin.xml
20190608,2019-06-08 09:02:00,2019-06-08 23:59:59,Thunderstorm,Information about Thunderstorm Warning (08:45 HKT on 08.06.2019),"Thunderstorm Warning was issued at 8:45 a.m. on 8 Jun 2019. It will be valid until 9:15 a.m. today. One or two isolated thunderstorms are expected to occur over Eastern Waters of Hong Kong.Members of the public are advised to take the following precautions when thunderstorms occur:1. Stay indoors. Seek shelter in buildings if you are engaging in outdoor activities.2. Do not stand on high grounds. Keep away from highly conductive objects, trees or masts.Dispatched by Hong Kong Observatory at 08:45 HKT on 08.06.2019",20190608-0902-WeatherWarningBulletin.xml
20190613,2019-06-13 09:35:00,2019-06-13 23:59:59,Thunderstorm,Information about Thunderstorm Warning (09:15 HKT on 13.06.2019),"Thunderstorm Warning issued at 7:30 a.m. on 13 Jun 2019 has been extended until 11:30 a.m. today. Squally thunderstorms are expected to occur over Hong Kong.Gusts exceeding 70 kilometres per hour were recorded at Star Ferry at around 9:10 a.m.Gusts reaching 80 kilometres per hour or above may affect Hong Kong.Members of the public are advised to take the following precautions when thunderstorms occur:1. Stay indoors. Seek shelter in buildings if you are engaging in outdoor activities.2. Do not stand on high grounds. Keep away from highly conductive objects, trees or masts.3. Take precautions against violent gusts. Beware of flying debris and falling objects.4. Drivers using highways and flyovers should reduce speed to be alert to violent gusts.Dispatched by Hong Kong Observatory at 09:15 HKT on 13.06.2019",20190613-0935-WeatherWarningBulletin.xml
20190613,2019-06-13 09:35:00,2019-06-13 23:59:59,Amber,Information about Amber Rainstorm Warning Signal (08:45 HKT on 13.06.2019),"Amber Rainstorm Warning Signal Special Announcement issued by the Hong Kong Observatory at 8:45 a.m.The Rainstorm Warning Signal is now Amber. This means that heavy rain has fallen or is expected to fall generally over Hong Kong, exceeding 30 millimetres in an hour, and is likely to continue. There will be flooding in some low-lying and poorly drained areas. People who are likely to be affected should take necessary precautions to reduce their exposure to risk posed by the heavy rain and flooding.Heavy rain may bring about flash floods. People should stay away from watercourses. People who are likely to be affected by flooding should take necessary precautions to avoid losses.Please listen to radio or watch television for traffic conditions and further announcements on the rainstorm.Dispatched by Hong Kong Observatory at 08:45 HKT on 13.06.2019",20190613-0935-WeatherWarningBulletin.xml
20190620,2019-06-20 08:40:00,2019-06-20 23:59:59,Very Hot,Information about Very Hot Weather Warning (07:45 HKT on 20.06.2019),"The Very Hot Weather Warning has been issued by the Hong Kong Observatory at 7:45 a.m.The Hong Kong Observatory is forecasting very hot weather in Hong Kong in the next couple of days. The risk of heatstroke is high.When engaged in outdoor work or activities, drink plenty of water and avoid over exertion. If not feeling well, take a rest in the shade or cooler place as soon as possible.People staying indoors without air-conditioning should keep windows open as far as possible to ensure that there is adequate ventilation.Avoid prolonged exposure under sunlight. Loose clothing, suitable hats and UV-blocking sunglasses can reduce the chance of sunburn by solar ultraviolet radiation.Swimmers and those taking part in outdoor activities should use a sunscreen lotion of SPF 15 or above, and should re-apply it frequently.Beware of health and wellbeing of elderly or persons with chronic medical conditions. If you know of them, call or visit them occasionally to check if they need any assistance.Dispatched by Hong Kong Observatory at 07:45 HKT on 20.06.2019",20190620-0840-WeatherWarningBulletin.xml
20190621,2019-06-21 08:45:00,2019-06-21 23:59:59,Very Hot,Information about Very Hot Weather Warning (06:45 HKT on 21.06.2019),"The Very Hot Weather Warning is now in force.The Hong Kong Observatory is forecasting very hot weather in Hong Kong in the next couple of days. The risk of heatstroke is high.When engaged in outdoor work or activities, drink plenty of water and avoid over exertion. If not feeling well, take a rest in the shade or cooler place as soon as possible.People staying indoors without air-conditioning should keep windows open as far as possible to ensure that there is adequate ventilation.Avoid prolonged exposure under sunlight. Loose clothing, suitable hats and UV-blocking sunglasses can reduce the chance of sunburn by solar ultraviolet radiation.Swimmers and those taking part in outdoor activities should use a sunscreen lotion of SPF 15 or above, and should re-apply it frequently.Beware of health and wellbeing of elderly or persons with chronic medical conditions. If you know of them, call or visit them occasionally to check if they need any assistance.Dispatched by Hong Kong Observatory at 06:45 HKT on 21.06.2019",20190621-0845-WeatherWarningBulletin.xml
20190622,2019-06-22 08:45:00,2019-06-22 23:59:59,Very Hot,Information about Very Hot Weather Warning (06:45 HKT on 22.06.2019),"The Very Hot Weather Warning is now in force.The Hong Kong Observatory is forecasting very hot weather in Hong Kong today and tomorrow. The risk of heatstroke is high.When engaged in outdoor work or activities, drink plenty of water and avoid over exertion. If not feeling well, take a rest in the shade or cooler place as soon as possible.People staying indoors without air-conditioning should keep windows open as far as possible to ensure that there is adequate ventilation.Avoid prolonged exposure under sunlight. Loose clothing, suitable hats and UV-blocking sunglasses can reduce the chance of sunburn by solar ultraviolet radiation.Swimmers and those taking part in outdoor activities should use a sunscreen lotion of SPF 15 or above, and should re-apply it frequently.Beware of health and wellbeing of elderly or persons with chronic medical conditions. If you know of them, call or visit them occasionally to check if they need any assistance.Dispatched by Hong Kong Observatory at 06:45 HKT on 22.06.2019",20190622-0845-WeatherWarningBulletin.xml
20190623,2019-06-23 08:45:00,2019-06-23 23:59:59,Very Hot,Information about Very Hot Weather Warning (06:45 HKT on 23.06.2019),"The Very Hot Weather Warning is now in force.The Hong Kong Observatory is forecasting very hot weather in Hong Kong today. The risk of heatstroke is high.When engaged in outdoor work or activities, drink plenty of water and avoid over exertion. If not feeling well, take a rest in the shade or cooler place as soon as possible.People staying indoors without air-conditioning should keep windows open as far as possible to ensure that there is adequate ventilation.Avoid prolonged exposure under sunlight. Loose clothing, suitable hats and UV-blocking sunglasses can reduce the chance of sunburn by solar ultraviolet radiation.Swimmers and those taking part in outdoor activities should use a sunscreen lotion of SPF 15 or above, and should re-apply it frequently.Beware of health and wellbeing of elderly or persons with chronic medical conditions. If you know of them, call or visit them occasionally to check if they need any assistance.Dispatched by Hong Kong Observatory at 06:45 HKT on 23.06.2019",20190623-0845-WeatherWarningBulletin.xml
20190627,2019-06-27 13:40:00,2019-06-27 23:59:59,Very Hot,Information about Very Hot Weather Warning (10:55 HKT on 27.06.2019),"The Very Hot Weather Warning has been issued by the Hong Kong Observatory at 10:55 a.m.The Hong Kong Observatory is forecasting very hot weather in Hong Kong today. The risk of heatstroke is high.When engaged in outdoor work or activities, drink plenty of water and avoid over exertion. If not feeling well, take a rest in the shade or cooler place as soon as possible.People staying indoors without air-conditioning should keep windows open as far as possible to ensure that there is adequate ventilation.Avoid prolonged exposure under sunlight. Loose clothing, suitable hats and UV-blocking sunglasses can reduce the chance of sunburn by solar ultraviolet radiation.Swimmers and those taking part in outdoor activities should use a sunscreen lotion of SPF 15 or above, and should re-apply it frequently.Beware of health and wellbeing of elderly or persons with chronic medical conditions. If you know of them, call or visit them occasionally to check if they need any assistance.Dispatched by Hong Kong Observatory at 10:55 HKT on 27.06.2019",20190627-1340-WeatherWarningBulletin.xml
20190628,2019-06-28 13:41:00,2019-06-28 23:59:59,Thunderstorm,Information about Thunderstorm Warning (12:55 HKT on 28.06.2019),"Thunderstorm Warning was issued at 12:55 p.m. on 28 Jun 2019. It will be valid until 2:00 p.m. today. Isolated thunderstorms are expected to occur over New Territories.Members of the public are advised to take the following precautions when thunderstorms occur:1. Stay indoors. Seek shelter in buildings if you are engaging in outdoor activities.2. Do not stand on high grounds. Keep away from highly conductive objects, trees or masts.Dispatched by Hong Kong Observatory at 12:55 HKT on 28.06.2019",20190628-1341-WeatherWarningBulletin.xml
20190628,2019-06-28 13:41:00,2019-06-28 23:59:59,Very Hot,Information about Very Hot Weather Warning (09:45 HKT on 28.06.2019),"The Very Hot Weather Warning has been issued by the Hong Kong Observatory at 9:45 a.m.The Hong Kong Observatory is forecasting very hot weather in Hong Kong today and tomorrow. The risk of heatstroke is high.When engaged in outdoor work or activities, drink plenty of water and avoid over exertion. If not feeling well, take a rest in the shade or cooler place as soon as possible.People staying indoors without air-conditioning should keep windows open as far as possible to ensure that there is adequate ventilation.Avoid prolonged exposure under sunlight. Loose clothing, suitable hats and UV-blocking sunglasses can reduce the chance of sunburn by solar ultraviolet radiation.Swimmers and those taking part in outdoor activities should use a sunscreen lotion of SPF 15 or above, and should re-apply it frequently.Beware of health and wellbeing of elderly or persons with chronic medical conditions. If you know of them, call or visit them occasionally to check if they need any assistance.Dispatched by Hong Kong Observatory at 09:45 HKT on 28.06.2019",20190628-1341-WeatherWarningBulletin.xml
20190629,2019-06-29 13:41:00,2019-06-29 23:59:59,Very Hot,Information about Very Hot Weather Warning (06:45 HKT on 29.06.2019),"The Very Hot Weather Warning is now in force.The Hong Kong Observatory is forecasting very hot weather in Hong Kong today. The risk of heatstroke is high.When engaged in outdoor work or activities, drink plenty of water and avoid over exertion. If not feeling well, take a rest in the shade or cooler place as soon as possible.People staying indoors without air-conditioning should keep windows open as far as possible to ensure that there is adequate ventilation.Avoid prolonged exposure under sunlight. Loose clothing, suitable hats and UV-blocking sunglasses can reduce the chance of sunburn by solar ultraviolet radiation.Swimmers and those taking part in outdoor activities should use a sunscreen lotion of SPF 15 or above, and should re-apply it frequently.Beware of health and wellbeing of elderly or persons with chronic medical conditions. If you know of them, call or visit them occasionally to check if they need any assistance.Dispatched by Hong Kong Observatory at 06:45 HKT on 29.06.2019",20190629-1341-WeatherWarningBulletin.xml
20190701,2019-07-01 13:41:00,2019-07-01 23:59:59,Thunderstorm,Information about Thunderstorm Warning (12:45 HKT on 01.07.2019),"Thunderstorm Warning was issued at 12:45 p.m. on 1 Jul 2019. It will be valid until 2:45 p.m. today. Isolated squally thunderstorms are expected to occur over Lantau, Hong Kong Island and Kowloon.Members of the public are advised to take the following precautions when thunderstorms occur:1. Stay indoors. Seek shelter in buildings if you are engaging in outdoor activities.2. Do not stand on high grounds. Keep away from highly conductive objects, trees or masts.Dispatched by Hong Kong Observatory at 12:45 HKT on 01.07.2019",20190701-1341-WeatherWarningBulletin.xml
20190703,2019-07-03 13:40:00,2019-07-03 23:59:59,Thunderstorm,Information about Thunderstorm Warning (12:35 HKT on 03.07.2019),"Thunderstorm Warning issued at 9:10 p.m. on 2 Jul 2019 has been extended until 3:00 p.m. today. Isolated squally thunderstorms are expected to occur over Hong Kong.Members of the public are advised to take the following precautions when thunderstorms occur:1. Stay indoors. Seek shelter in buildings if you are engaging in outdoor activities.2. Do not stand on high grounds. Keep away from highly conductive objects, trees or masts.Dispatched by Hong Kong Observatory at 12:35 HKT on 03.07.2019",20190703-1340-WeatherWarningBulletin.xml
20190710,2019-07-10 11:06:00,2019-07-10 23:59:59,Thunderstorm,Information about Thunderstorm Warning (09:10 HKT on 10.07.2019),"Thunderstorm Warning was issued at 9:10 a.m. on 10 Jul 2019. It will be valid until 11:15 a.m. today. A few squally thunderstorms are expected to occur over Hong Kong.Members of the public are advised to take the following precautions when thunderstorms occur:1. Stay indoors. Seek shelter in buildings if you are engaging in outdoor activities.2. Do not stand on high grounds. Keep away from highly conductive objects, trees or masts.Dispatched by Hong Kong Observatory at 09:10 HKT on 10.07.2019",20190710-1106-WeatherWarningBulletin.xml
20190713,2019-07-13 10:58:00,2019-07-13 23:59:59,Very Hot,Information about Very Hot Weather Warning (06:45 HKT on 13.07.2019),"The Very Hot Weather Warning has been issued by the Hong Kong Observatory at 6:45 a.m.The Hong Kong Observatory is forecasting very hot weather in Hong Kong today. The risk of heatstroke is high.When engaged in outdoor work or activities, drink plenty of water and avoid over exertion. If not feeling well, take a rest in the shade or cooler place as soon as possible.People staying indoors without air-conditioning should keep windows open as far as possible to ensure that there is adequate ventilation.Avoid prolonged exposure under sunlight. Loose clothing, suitable hats and UV-blocking sunglasses can reduce the chance of sunburn by solar ultraviolet radiation.Swimmers and those taking part in outdoor activities should use a sunscreen lotion of SPF 15 or above, and should re-apply it frequently.Beware of health and wellbeing of elderly or persons with chronic medical conditions. If you know of them, call or visit them occasionally to check if they need any assistance.Dispatched by Hong Kong Observatory at 06:45 HKT on 13.07.2019",20190713-1058-WeatherWarningBulletin.xml
