date,station,start_time,end_time,action,notes
2019-08-05,荔枝角,2019-08-05 18:00,2019-08-05 23:59,skipped,晚上荃灣綫列車不停荔枝角站；設特別列車只作清客；因應警方要求；時間近似
2019-08-05,長沙灣,2019-08-05 18:00,2019-08-05 23:59,skipped,晚上荃灣綫列車不停長沙灣站；設特別列車只作清客；因應警方要求；時間近似
2019-08-05,深水埗,2019-08-05 18:00,2019-08-05 23:59,skipped,晚上荃灣綫列車不停深水埗站；設特別列車只作清客；因應警方要求；時間近似
2019-08-05,葵芳,2019-08-05 18:00,2019-08-05 23:59,skipped,晚上荃灣綫列車不停葵芳站；設特別列車只作清客；因應警方要求；時間近似
2019-08-10,佐敦,2019-08-10 18:00,2019-08-10 23:59,skipped,晚上荃灣綫列車不停佐敦站；設特別列車只作清客；因應警方要求；時間近似
2019-08-10,尖沙咀,2019-08-10 18:00,2019-08-10 23:59,skipped,晚上荃灣綫列車不停尖沙咀站；設特別列車只作清客；因應警方要求；時間近似
2019-08-11,炮台山,2019-08-11 19:05,2019-08-11 23:59,skipped,19:05宣布港島綫不停炮台山站；設特別列車只作清客；因應警方要求
2019-08-11,葵芳,2019-08-11 20:30,2019-08-11 23:59,closed,荃灣綫葵芳站因特別事故暫時關閉；其間設特別列車清客且其他列車不停葵芳站；時間結束未明
2019-08-18,銅鑼灣,2019-08-18 12:00,2019-08-18 23:59,skipped,受示威人流滯留影響；港島綫部分列車不停銅鑼灣站；時間近似
2019-08-18,天后,2019-08-18 12:00,2019-08-18 23:59,skipped,受示威人流滯留影響；港島綫部分列車不停天后站；時間近似
2019-08-18,炮台山,2019-08-18 12:00,2019-08-18 23:59,skipped,受示威人流滯留影響；港島綫部分列車不停炮台山站；時間近似
2019-08-21,元朗,2019-08-21 22:40,2019-08-21 23:59,skipped,因應元朗站有公眾活動；西鐵綫安排特別列車清客；其他列車不停元朗站
2019-08-22,葵芳,2019-08-22 20:00,2019-08-22 23:59,partial_closed,葵芳站遭破壞導致部分出口需要關閉；開始時間近似
2019-08-23,葵芳,2019-08-23 21:00,2019-08-23 23:59,closed,基於安全考慮暫時關閉葵芳站；荃灣綫不停該站；時間按公告
2019-08-24,九龍灣,2019-08-24 12:00,2019-08-24 23:59,closed,觀塘綫九龍灣至藍田各站暫時關閉；按公告中午起；結束未明
2019-08-24,牛頭角,2019-08-24 12:00,2019-08-24 23:59,closed,觀塘綫九龍灣至藍田各站暫時關閉；按公告中午起；結束未明
2019-08-24,觀塘,2019-08-24 12:00,2019-08-24 23:59,closed,觀塘綫九龍灣至藍田各站暫時關閉；按公告中午起；結束未明
2019-08-24,藍田,2019-08-24 12:00,2019-08-24 23:59,closed,觀塘綫九龍灣至藍田各站暫時關閉；按公告中午起；結束未明
2019-08-25,葵芳,2019-08-25 13:30,2019-08-25 23:59,skipped,荃葵青遊行；荃灣綫不停葵芳站；車站暫時關閉
2019-08-25,荃灣,2019-08-25 13:30,2019-08-25 23:59,skipped,荃葵青遊行；荃灣綫不停荃灣站；車站暫時關閉
2019-08-25,荃灣西,2019-08-25 13:30,2019-08-25 23:59,skipped,荃葵青遊行；西鐵綫不停荃灣西站；車站暫時關閉
2019-08-31,西營盤,2019-08-31 13:30,2019-08-31 23:59,closed,因應預期遊行；先行關閉西營盤站；港島綫不停該站
2019-08-31,金鐘,2019-08-31 18:00,2019-08-31 23:59,closed,晚上宣布關閉金鐘站；港島綫及荃灣綫不停該站；時間近似
2019-08-31,灣仔,2019-08-31 18:00,2019-08-31 23:59,closed,晚上宣布關閉灣仔站；港島綫不停該站；時間近似
2019-08-31,佐敦,2019-08-31 18:00,2019-08-31 23:59,closed,晚上宣布關閉佐敦站；荃灣綫不停該站；時間近似
2019-08-31,旺角,2019-08-31 18:00,2019-08-31 23:59,closed,晚上宣布關閉旺角站；荃灣綫及觀塘綫不停該站；時間近似
2019-08-31,炮台山,2019-08-31 18:00,2019-08-31 23:59,closed,晚上宣布關閉炮台山站；港島綫不停該站；時間近似
2019-09-01,太子,2019-09-01 06:00,2019-09-01 23:59,closed,太子站關閉；荃灣綫及觀塘綫不停該站；時間近似
2019-09-01,旺角,2019-09-01 06:00,2019-09-01 23:59,closed,旺角站關閉；荃灣綫及觀塘綫不停該站；時間近似
2019-09-01,九龍灣,2019-09-01 06:00,2019-09-01 23:59,closed,九龍灣站關閉；觀塘綫不停該站；晚上重開；時間近似
2019-09-08,中環,2019-09-08 16:00,2019-09-08 23:59,closed,突發事件；中環站暫時關閉；荃灣綫及港島綫不停該站；開始時間按公告
2019-09-08,灣仔,2019-09-08 18:40,2019-09-08 23:59,closed,示威者破壞設施；灣仔站暫時關閉；港島綫不停該站；開始時間按公告
2019-09-08,中環,2019-09-08 18:40,2019-09-08 23:59,closed,重申關閉；荃灣綫及港島綫不停中環站；與18:40公告一致
2019-09-08,太子,2019-09-08 18:40,2019-09-08 23:59,exit_closed,部份出入口暫時關閉；時間按公告
2019-09-08,旺角,2019-09-08 18:40,2019-09-08 23:59,exit_closed,部份出入口暫時關閉；時間按公告
2019-09-08,油麻地,2019-09-08 18:40,2019-09-08 23:59,exit_closed,部份出入口暫時關閉；時間按公告
2019-09-08,佐敦,2019-09-08 18:40,2019-09-08 23:59,exit_closed,部份出入口暫時關閉；時間按公告
2019-09-08,尖沙咀,2019-09-08 18:40,2019-09-08 23:59,exit_closed,部份出入口暫時關閉；時間按公告
2019-09-08,香港,2019-09-08 18:40,2019-09-08 23:59,exit_closed,香港站部份出入口暫時關閉；時間按公告
2019-09-08,銅鑼灣,2019-09-08 18:40,2019-09-08 23:59,exit_closed,部份出入口暫時關閉；時間按公告
2019-09-08,天后,2019-09-08 18:40,2019-09-08 23:59,exit_closed,部份出入口暫時關閉；時間按公告
2019-09-08,太子,2019-09-08 21:30,2019-09-08 23:59,closed,21:30宣佈關閉太子站；荃灣綫及觀塘綫不停該站
2019-09-08,旺角,2019-09-08 22:00,2019-09-08 23:59,closed,22:00宣佈關閉旺角站；荃灣綫及觀塘綫不停該站
2019-09-08,灣仔,2019-09-08 21:30,2019-09-08 23:59,skipped,持續不停灣仔站；港島綫不停該站；隨中環/灣仔關閉公告
2019-09-08,中環,2019-09-08 21:30,2019-09-08 23:59,skipped,持續不停中環站；荃灣綫及港島綫不停該站；隨晚間公告
2019-09-15,金鐘,2019-09-15 12:00,2019-09-15 23:59,closed,港島區大型公眾活動；金鐘站暫時關閉；港島綫及南港島綫不停該站；時間近似
2019-09-15,灣仔,2019-09-15 12:00,2019-09-15 23:59,closed,港島區大型公眾活動；灣仔站暫時關閉；港島綫不停該站；時間近似
2019-09-15,銅鑼灣,2019-09-15 12:00,2019-09-15 23:59,closed,港島區大型公眾活動；銅鑼灣站暫時關閉；港島綫不停該站；時間近似
2019-09-17,紅磡,2019-09-17 08:30,2019-09-17 23:59,closed,東鐵綫入站出軌事故後紅磡站暫停服務；列車不停
2019-09-22,沙田,2019-09-22 16:45,2019-09-22 23:59,closed,因大肆破壞；關閉沙田站；東鐵綫不停該站；結束時間未明
2019-09-22,青衣,2019-09-22 17:18,2019-09-22 23:59,closed,宣佈關閉青衣站；東涌綫不停該站；結束時間未明
2019-09-22,九龍,2019-09-22 18:33,2019-09-22 23:59,closed,宣佈關閉九龍站；東涌綫不停該站；22:59重開；結束時間近似
2019-09-22,葵芳,2019-09-22 19:32,2019-09-22 23:59,closed,宣佈關閉葵芳站；荃灣綫不停該站；結束時間未明
2019-09-22,太子,2019-09-22 22:18,2019-09-22 23:59,closed,宣佈關閉太子站；荃灣綫及觀塘綫不停該站；結束時間未明
2019-09-22,旺角,2019-09-22 22:18,2019-09-22 23:59,closed,宣佈關閉旺角站；荃灣綫及觀塘綫不停該站；結束時間未明
2019-09-29,金鐘,2019-09-29 12:00,2019-09-29 23:59,closed,示威者聚集；金鐘站關閉；荃灣綫及港島綫不停該站；時間近似
2019-09-29,灣仔,2019-09-29 12:00,2019-09-29 23:59,closed,示威者聚集；灣仔站關閉；港島綫不停該站；時間近似
2019-09-29,銅鑼灣,2019-09-29 12:00,2019-09-29 23:59,closed,示威者聚集；銅鑼灣站關閉；港島綫不停該站；時間近似
2019-09-29,天后,2019-09-29 12:00,2019-09-29 23:59,closed,示威者聚集；天后站關閉；港島綫不停該站；時間近似
2019-10-01,金鐘,2019-10-01 06:00,2019-10-01 23:59,closed,金鐘站由早上起暫停開放；港島綫/南港島綫/荃灣綫不停；時間近似
2019-10-01,灣仔,2019-10-01 06:00,2019-10-01 23:59,closed,灣仔站由早上起暫停開放；港島綫不停；時間近似
2019-10-01,太子,2019-10-01 06:00,2019-10-01 23:59,closed,太子站由早上起暫停開放；荃灣綫/觀塘綫不停；時間近似
2019-10-01,沙田,2019-10-01 11:00,2019-10-01 23:59,skipped,上午11時起東鐵綫不停沙田站；時間結束未明
2019-10-01,車公廟,2019-10-01 11:00,2019-10-01 23:59,skipped,上午11時起馬鞍山綫不停車公廟站；時間結束未明
2019-10-01,屯門,2019-10-01 11:00,2019-10-01 23:59,skipped,上午11時起西鐵綫不停屯門站；時間結束未明
2019-10-01,荃灣西,2019-10-01 11:00,2019-10-01 23:59,skipped,上午11時起西鐵綫不停荃灣西站；時間結束未明
2019-10-01,荃灣,2019-10-01 11:00,2019-10-01 23:59,skipped,上午11時起荃灣綫不停荃灣站；時間結束未明
2019-10-01,金鐘,2019-10-01 11:00,2019-10-01 23:59,skipped,上午11時起荃灣綫不停金鐘站；與全日關閉並行
2019-10-01,葵芳,2019-10-01 14:30,2019-10-01 23:59,closed,14:30起關閉；荃灣綫不停葵芳站
2019-10-01,葵興,2019-10-01 14:30,2019-10-01 23:59,closed,14:30起關閉；荃灣綫不停葵興站
2019-10-01,大窩口,2019-10-01 14:30,2019-10-01 23:59,closed,14:30起關閉；荃灣綫不停大窩口站
2019-10-01,鑽石山,2019-10-01 14:30,2019-10-01 23:59,closed,14:30起關閉；觀塘綫不停鑽石山站
2019-10-01,西營盤,2019-10-01 15:10,2019-10-01 23:59,closed,15:10起關閉；港島綫不停西營盤站
2019-10-01,黃大仙,2019-10-01 15:10,2019-10-01 23:59,closed,同段公告列為已關閉；觀塘綫不停；開始時間按情況近似
2019-10-01,銅鑼灣,2019-10-01 15:10,2019-10-01 23:59,closed,同段公告列為已關閉；港島綫不停；開始時間近似
2019-10-01,深水埗,2019-10-01 15:10,2019-10-01 23:59,closed,同段公告列為已關閉；荃灣綫不停；開始時間近似
2019-10-01,荃灣,2019-10-01 15:10,2019-10-01 23:59,closed,同段公告列為已關閉；荃灣綫不停；開始時間近似
2019-10-01,沙田,2019-10-01 15:10,2019-10-01 23:59,closed,同段公告列為已關閉；東鐵綫不停；開始時間近似
2019-10-01,車公廟,2019-10-01 15:10,2019-10-01 23:59,closed,同段公告列為已關閉；馬鞍山綫不停；開始時間近似
2019-10-01,屯門,2019-10-01 15:10,2019-10-01 23:59,closed,同段公告列為已關閉；西鐵綫不停；開始時間近似
2019-10-01,旺角,2019-10-01 15:38,2019-10-01 23:59,closed,15:38起旺角站關閉；荃灣綫/觀塘綫不停
2019-10-01,樂富,2019-10-01 15:50,2019-10-01 23:59,closed,15:50起關閉；觀塘綫不停樂富站
2019-10-01,香港大學,2019-10-01 15:55,2019-10-01 23:59,closed,15:55起關閉；港島綫不停香港大學站
2019-10-01,中環,2019-10-01 16:33,2019-10-01 23:59,closed,16:33起關閉；荃灣綫/港島綫不停中環站
2019-10-01,第一城,2019-10-01 16:51,2019-10-01 23:59,closed,16:51起關閉；馬鞍山綫不停第一城站
2019-10-01,元朗,2019-10-01 17:00,2019-10-01 23:59,closed,17:00起關閉；西鐵綫不停元朗站
2019-10-01,兆康,2019-10-01 17:23,2019-10-01 23:59,closed,17:23起關閉；西鐵綫不停兆康站
2019-10-01,大圍,2019-10-01 18:45,2019-10-01 23:59,closed,18:45起大圍站受破壞關閉；東鐵綫不停
2019-10-01,天后,2019-10-01 19:50,2019-10-01 23:59,closed,19:50起天后站關閉；港島綫不停
2019-10-01,九龍灣,2019-10-01 20:14,2019-10-01 23:59,closed,20:14起九龍灣站關閉；觀塘綫不停
2019-10-01,牛頭角,2019-10-01 20:23,2019-10-01 23:59,closed,20:23起牛頭角站關閉；觀塘綫不停
2019-10-01,觀塘,2019-10-01 21:00,2019-10-01 23:59,closed,21:00起觀塘站關閉；觀塘綫不停
2019-10-01,藍田,2019-10-01 21:07,2019-10-01 23:59,closed,21:07起藍田站關閉；觀塘綫不停
2019-10-01,寶琳,2019-10-01 22:30,2019-10-01 23:59,closed,22:30起將軍澳綫寶琳站關閉；不停該站
2019-10-02,太古,2019-10-02 23:30,2019-10-02 23:59,closed,太古站23:30起暫時關閉；港島綫不停
2019-10-03,觀塘,2019-10-03 22:15,2019-10-03 23:59,closed,觀塘站因破壞暫時關閉；觀塘綫不停
2019-10-03,大埔墟,2019-10-03 22:50,2019-10-03 23:59,closed,大埔墟站暫時關閉；東鐵綫不停
2019-10-03,牛頭角,2019-10-03 23:15,2019-10-03 23:59,closed,牛頭角站暫時關閉；觀塘綫不停
2019-10-04,觀塘,2019-10-04 19:52,2019-10-04 23:59,closed,19:52宣布關閉觀塘站；觀塘綫不停
2019-10-04,沙田,2019-10-04 20:13,2019-10-04 23:59,closed,沙田站關閉；東鐵綫不停；因破壞
2019-10-04,將軍澳,2019-10-04 20:32,2019-10-04 23:59,closed,將軍澳站關閉；將軍澳綫不停
2019-10-04,牛頭角,2019-10-04 20:35,2019-10-04 23:59,closed,牛頭角站關閉；觀塘綫不停
2019-10-04,荃灣,2019-10-04 20:45,2019-10-04 23:59,closed,荃灣站關閉；荃灣綫不停
2019-10-04,葵芳,2019-10-04 20:45,2019-10-04 23:59,closed,葵芳站關閉；荃灣綫不停
2019-10-04,沙田圍,2019-10-04 20:45,2019-10-04 23:59,closed,沙田圍站關閉；馬鞍山綫不停
2019-10-04,太古,2019-10-04 20:52,2019-10-04 23:59,closed,太古站關閉；港島綫不停
2019-10-04,黃大仙,2019-10-04 20:52,2019-10-04 23:59,closed,黃大仙站關閉；觀塘綫不停
2019-10-04,九龍灣,2019-10-04 21:00,2019-10-04 23:59,closed,九龍灣站關閉；觀塘綫不停
2019-10-04,樂富,2019-10-04 21:00,2019-10-04 23:59,closed,樂富站關閉；觀塘綫不停
2019-10-04,銅鑼灣,2019-10-04 21:02,2019-10-04 23:59,closed,銅鑼灣站關閉；港島綫不停
2019-10-04,坑口,2019-10-04 21:02,2019-10-04 23:59,closed,坑口站關閉；將軍澳綫不停
2019-10-04,大窩口,2019-10-04 21:06,2019-10-04 23:59,closed,大窩口站關閉；荃灣綫不停
2019-10-04,葵興,2019-10-04 21:06,2019-10-04 23:59,closed,葵興站關閉；荃灣綫不停
2019-10-04,太子,2019-10-04 21:06,2019-10-04 23:59,closed,太子站關閉；荃灣綫/觀塘綫不停
2019-10-04,大圍,2019-10-04 21:10,2019-10-04 23:59,closed,大圍站關閉；東鐵綫不停
2019-10-04,屯門,2019-10-04 21:10,2019-10-04 23:59,closed,屯門站關閉；西鐵綫不停
2019-10-04,荃灣西,2019-10-04 21:10,2019-10-04 23:59,closed,荃灣西站關閉；西鐵綫不停
2019-10-04,長沙灣,2019-10-04 21:35,2019-10-04 23:59,closed,長沙灣站關閉；荃灣綫不停
2019-10-04,深水埗,2019-10-04 21:35,2019-10-04 23:59,closed,深水埗站關閉；荃灣綫不停
2019-10-04,旺角,2019-10-04 21:35,2019-10-04 23:59,closed,旺角站關閉；荃灣綫/觀塘綫不停
2019-10-04,油麻地,2019-10-04 21:35,2019-10-04 23:59,closed,油麻地站關閉；荃灣綫/觀塘綫不停
2019-10-04,佐敦,2019-10-04 21:35,2019-10-04 23:59,closed,佐敦站關閉；荃灣綫不停
2019-10-04,尖沙咀,2019-10-04 21:35,2019-10-04 23:59,closed,尖沙咀站關閉；荃灣綫不停
2019-10-06,旺角,2019-10-06 06:00,2019-10-06 23:59,closed,荃灣綫/觀塘綫旺角站全日暫停；按日內安排；時間近似
2019-10-06,太子,2019-10-06 06:00,2019-10-06 23:59,closed,荃灣綫/觀塘綫太子站全日暫停；時間近似
2019-10-06,深水埗,2019-10-06 06:00,2019-10-06 23:59,closed,荃灣綫深水埗站全日暫停；時間近似
2019-10-06,長沙灣,2019-10-06 06:00,2019-10-06 23:59,closed,荃灣綫長沙灣站全日暫停；時間近似
2019-10-06,葵芳,2019-10-06 06:00,2019-10-06 23:59,closed,荃灣綫葵芳站全日暫停；時間近似
2019-10-06,大窩口,2019-10-06 06:00,2019-10-06 23:59,closed,荃灣綫大窩口站全日暫停；時間近似
2019-10-06,荃灣,2019-10-06 06:00,2019-10-06 23:59,closed,荃灣綫荃灣站全日暫停；時間近似
2019-10-06,尖沙咀,2019-10-06 06:00,2019-10-06 23:59,closed,荃灣綫尖沙咀站全日暫停；時間近似
2019-10-06,佐敦,2019-10-06 06:00,2019-10-06 23:59,closed,荃灣綫佐敦站全日暫停；時間近似
2019-10-06,金鐘,2019-10-06 06:00,2019-10-06 23:59,closed,港島綫/南港島綫金鐘站全日暫停；時間近似
2019-10-06,灣仔,2019-10-06 06:00,2019-10-06 23:59,closed,港島綫灣仔站全日暫停；時間近似
2019-10-06,銅鑼灣,2019-10-06 06:00,2019-10-06 23:59,closed,港島綫銅鑼灣站全日暫停；時間近似
2019-10-06,天后,2019-10-06 06:00,2019-10-06 23:59,closed,港島綫天后站全日暫停；時間近似
2019-10-06,炮台山,2019-10-06 06:00,2019-10-06 23:59,closed,港島綫炮台山站全日暫停；時間近似
2019-10-06,西營盤,2019-10-06 06:00,2019-10-06 23:59,closed,港島綫西營盤站全日暫停；時間近似
2019-10-06,上環,2019-10-06 06:00,2019-10-06 23:59,closed,港島綫上環站全日暫停；時間近似
2019-10-06,油麻地,2019-10-06 16:31,2019-10-06 23:59,closed,16:31起油麻地站關閉；荃灣綫/觀塘綫不停
2019-10-06,九龍塘,2019-10-06 16:51,2019-10-06 23:59,closed,16:51起九龍塘站關閉；東鐵綫/觀塘綫受影響；不停
2019-10-06,調景嶺,2019-10-06 06:00,2019-10-06 23:59,closed,將軍澳綫調景嶺站全日暫停；時間近似
2019-10-06,將軍澳,2019-10-06 06:00,2019-10-06 23:59,closed,將軍澳綫將軍澳站全日暫停；時間近似
2019-10-06,坑口,2019-10-06 06:00,2019-10-06 23:59,closed,將軍澳綫坑口站全日暫停；時間近似
2019-10-06,寶琳,2019-10-06 06:00,2019-10-06 23:59,closed,將軍澳綫寶琳站全日暫停；時間近似
2019-10-06,康城,2019-10-06 06:00,2019-10-06 23:59,closed,將軍澳綫康城站全日暫停；時間近似
2019-10-06,欣澳,2019-10-06 06:00,2019-10-06 23:59,closed,東涌綫欣澳站全日暫停；時間近似
2019-10-06,東涌,2019-10-06 06:00,2019-10-06 23:59,closed,東涌綫東涌站全日暫停；時間近似
2019-10-06,大圍,2019-10-06 06:00,2019-10-06 23:59,closed,東鐵綫大圍站全日暫停；時間近似
2019-10-06,沙田,2019-10-06 06:00,2019-10-06 23:59,closed,東鐵綫沙田站全日暫停；時間近似
2019-10-06,大埔墟,2019-10-06 06:00,2019-10-06 23:59,closed,東鐵綫大埔墟站全日暫停；時間近似
2019-10-06,粉嶺,2019-10-06 06:00,2019-10-06 23:59,closed,東鐵綫粉嶺站全日暫停；時間近似
2019-10-06,上水,2019-10-06 06:00,2019-10-06 23:59,closed,東鐵綫上水站全日暫停；時間近似
2019-10-06,旺角東,2019-10-06 16:51,2019-10-06 23:59,closed,16:51起旺角東站關閉；東鐵綫不停
2019-10-06,尖東,2019-10-06 06:00,2019-10-06 23:59,closed,西鐵綫尖東站全日暫停；時間近似
2019-10-06,荃灣西,2019-10-06 06:00,2019-10-06 23:59,closed,西鐵綫荃灣西站全日暫停；時間近似
2019-10-06,元朗,2019-10-06 06:00,2019-10-06 23:59,closed,西鐵綫元朗站全日暫停；時間近似
2019-10-06,天水圍,2019-10-06 06:00,2019-10-06 23:59,closed,西鐵綫天水圍站全日暫停；時間近似
2019-10-06,屯門,2019-10-06 06:00,2019-10-06 23:59,closed,西鐵綫屯門站全日暫停；時間近似
2019-10-06,迪士尼,2019-10-06 06:00,2019-10-06 23:59,closed,迪士尼綫全日暫停；時間近似
2019-10-06,馬鞍山綫,2019-10-06 06:00,2019-10-06 23:59,closed,馬鞍山綫全線暫停；沿線多站關閉；時間近似
2019-10-08,旺角,2019-10-08 06:00,2019-10-08 20:00,closed,荃灣綫/觀塘綫旺角站暫停服務；全日提前收車；結束時間按公告
2019-10-08,觀塘,2019-10-08 06:00,2019-10-08 20:00,closed,觀塘綫觀塘站暫停服務；結束時間按公告
2019-10-08,將軍澳,2019-10-08 06:00,2019-10-08 12:00,closed,將軍澳站暫停服務；中午約12時重開
2019-10-08,坑口,2019-10-08 06:00,2019-10-08 20:00,closed,坑口站暫停服務；晚8時收車
2019-10-08,寶琳,2019-10-08 06:00,2019-10-08 12:00,closed,寶琳站暫停服務；中午約12時重開
2019-10-08,大埔墟,2019-10-08 06:00,2019-10-08 12:00,closed,大埔墟站暫停服務；中午約12時重開
2019-10-08,車公廟,2019-10-08 06:00,2019-10-08 20:00,closed,馬鞍山綫車公廟站暫停服務；提前收車
2019-10-08,沙田圍,2019-10-08 06:00,2019-10-08 20:00,closed,馬鞍山綫沙田圍站暫停服務；提前收車
2019-10-08,第一城,2019-10-08 06:00,2019-10-08 20:00,closed,馬鞍山綫第一城站暫停服務；提前收車
2019-10-08,石門,2019-10-08 06:00,2019-10-08 20:00,closed,馬鞍山綫石門站暫停服務；提前收車
2019-10-08,馬鞍山,2019-10-08 06:00,2019-10-08 20:00,closed,馬鞍山綫馬鞍山站暫停服務；提前收車
2019-10-08,兆康,2019-10-08 06:00,2019-10-08 20:00,closed,西鐵綫兆康站暫停服務；提前收車
2019-10-09,旺角,2019-10-09 06:00,2019-10-09 20:00,closed,荃灣綫/觀塘綫旺角站暫停服務；提前收車
2019-10-09,觀塘,2019-10-09 06:00,2019-10-09 20:00,closed,觀塘綫觀塘站暫停服務；提前收車
2019-10-09,將軍澳,2019-10-09 06:00,2019-10-09 20:00,closed,將軍澳綫將軍澳站暫停服務；提前收車
2019-10-09,坑口,2019-10-09 06:00,2019-10-09 20:00,closed,將軍澳綫坑口站暫停服務；提前收車
2019-10-09,車公廟,2019-10-09 06:00,2019-10-09 20:00,closed,馬鞍山綫車公廟站暫停服務；提前收車
2019-10-09,沙田圍,2019-10-09 06:00,2019-10-09 20:00,closed,馬鞍山綫沙田圍站暫停服務；提前收車
2019-10-09,石門,2019-10-09 06:00,2019-10-09 20:00,closed,馬鞍山綫石門站暫停服務；提前收車
2019-10-10,將軍澳,2019-10-10 06:00,2019-10-10 21:00,closed,將軍澳綫將軍澳站暫停服務；21:00前提早收車
2019-10-11,旺角,2019-10-11 06:00,2019-10-11 22:00,partial_closed,所有重鐵站重開但部分出入口/設施未復修；旺角站受限
2019-10-12,觀塘,2019-10-12 15:00,2019-10-12 23:59,exit_closed,九龍塘站G1/G2出入口暫時關閉；另沙田站晚間破壞；僅記出入口事件
2019-10-13,觀塘,2019-10-13 15:48,2019-10-13 23:59,closed,15:48關閉觀塘站；其後全綫輕鐵停駛
2019-10-13,沙田圍,2019-10-13 15:52,2019-10-13 23:59,closed,15:52關閉；馬鞍山綫不停沙田圍站
2019-10-13,第一城,2019-10-13 16:05,2019-10-13 23:59,closed,16:05關閉；馬鞍山綫不停第一城站
2019-10-13,荃灣,2019-10-13 17:30,2019-10-13 23:59,closed,17:30荃灣綫荃灣站暫停服務
2019-10-13,荃灣西,2019-10-13 17:30,2019-10-13 23:59,closed,17:30西鐵綫荃灣西站暫停服務
2019-10-13,沙田,2019-10-13 17:51,2019-10-13 23:59,closed,17:51關閉沙田站；東鐵綫不停
2019-10-13,葵興,2019-10-13 18:08,2019-10-13 23:59,closed,18:08關閉葵興站；荃灣綫不停
2019-10-13,葵芳,2019-10-13 18:17,2019-10-13 23:59,closed,18:17關閉葵芳站；荃灣綫不停
2019-10-13,旺角,2019-10-13 18:53,2019-10-13 23:59,closed,18:53關閉旺角站；荃灣綫/觀塘綫不停
2019-10-13,尖沙咀,2019-10-13 19:26,2019-10-13 23:59,closed,19:26關閉尖沙咀站；荃灣綫不停
2019-10-13,太子,2019-10-13 19:39,2019-10-13 23:59,closed,19:39關閉太子站；荃灣綫/觀塘綫不停
2019-10-13,油麻地,2019-10-13 19:39,2019-10-13 23:59,closed,19:39關閉油麻地站；荃灣綫/觀塘綫不停
2019-10-13,黃大仙,2019-10-13 20:23,2019-10-13 23:59,closed,20:23關閉黃大仙站；觀塘綫不停
2019-10-13,調景嶺,2019-10-13 20:23,2019-10-13 23:59,closed,20:23關閉調景嶺站；將軍澳綫不停；並宣佈將軍澳段關閉至寶琳/康城
2019-10-13,深水埗,2019-10-13 20:23,2019-10-13 23:59,closed,20:23關閉深水埗站；荃灣綫不停
2019-10-13,長沙灣,2019-10-13 20:23,2019-10-13 23:59,closed,20:23關閉長沙灣站；荃灣綫不停
2019-10-13,荔枝角,2019-10-13 20:23,2019-10-13 23:59,closed,20:23關閉荔枝角站；荃灣綫不停
2019-10-13,大窩口,2019-10-13 20:23,2019-10-13 23:59,closed,20:23關閉大窩口站；荃灣綫不停
2019-10-13,藍田,2019-10-13 20:43,2019-10-13 23:59,closed,20:43關閉藍田站；觀塘綫不停
2019-10-13,油塘,2019-10-13 20:43,2019-10-13 23:59,closed,20:43關閉油塘站；觀塘綫不停
